Time,Sample,Phase
937, 0.454331, 0.425393
938, 0.451791, 0.425846
939, 0.449247, 0.4263
940, 0.446699, 0.426753
941, 0.444148, 0.427207
942, 0.441594, 0.42766
943, 0.439035, 0.428114
944, 0.436473, 0.428567
945, 0.433908, 0.429021
946, 0.431339, 0.429474
947, 0.428766, 0.429928
948, 0.42619, 0.430381
949, 0.423611, 0.430835
950, 0.421028, 0.431288
951, 0.418442, 0.431742
952, 0.415852, 0.432195
953, 0.413259, 0.432649
954, 0.410663, 0.433102
955, 0.408063, 0.433556
956, 0.40546, 0.434009
957, 0.402854, 0.434463
958, 0.400244, 0.434916
959, 0.397631, 0.43537
960, 0.395015, 0.435823
961, 0.392396, 0.436277
962, 0.389773, 0.43673
963, 0.387148, 0.437184
964, 0.384519, 0.437637
965, 0.381887, 0.438091
966, 0.379252, 0.438544
967, 0.376614, 0.438998
968, 0.373973, 0.439451
969, 0.371328, 0.439905
970, 0.368681, 0.440358
971, 0.366031, 0.440812
972, 0.363378, 0.441265
973, 0.360722, 0.441719
974, 0.358063, 0.442172
975, 0.355401, 0.442626
976, 0.352736, 0.443079
